!CSV A.01.01
!Agilent Technologies,N5221A,MY51411109,A.09.90.13
!Agilent N5221A: A.09.90.13
!Date: Thursday, November 29, 2018 21:13:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
1159930000,-5.0825977,-44.704483
1160020000,-5.0104718,-45.792156
1160110000,-4.9377484,-46.828934
1160200000,-4.8667612,-47.835007
1160290000,-4.8049617,-48.932953
1160380000,-4.7355814,-49.954376
1160470000,-4.6703196,-51.003849
1160560000,-4.6053796,-52.101131
1160650000,-4.5570903,-53.096859
1160740000,-4.4949393,-54.147621
1160830000,-4.4332986,-55.195114
1160920000,-4.3758101,-56.186516
1161010000,-4.3258114,-57.242424
1161100000,-4.2664309,-58.220356
1161190000,-4.2129364,-59.327671
1161280000,-4.1619334,-60.303879
1161370000,-4.1156878,-61.294537
1161460000,-4.062993,-62.285378
1161550000,-4.0091257,-63.309036
1161640000,-3.9681549,-64.315613
1161730000,-3.9284236,-65.283058
1161820000,-3.8848317,-66.280296
1161910000,-3.8458214,-67.286308
1162000000,-3.8048487,-68.286453
END

